💫WLQ,#genre#
泉州新闻,rtmp://live.qztv.cn/live/news
泉州闽南语,rtmp://live.qztv.cn/live/mny
番薯台,http://61.216.67.119:1935/TWHG/E1/chunklist_w705811302.m3u8
番薯台,https://epg.pw/stream/51cb56342f39e6110b315b4d3c3391ef7b96e4b8cb91bd1e0670393a6da2755f.m3u8
民視,rtmp://f13h.mine.nu/sat/tv051
台視,rtmp://f13h.mine.nu/sat/tv071
中視,rtmp://f13h.mine.nu/sat/tv091
華視,rtmp://f13h.mine.nu/sat/tv111
東森超視,rtmp://f13h.mine.nu/sat/tv331
非凡新聞,rtmp://f13h.mine.nu/sat/tv581
緯來育樂,rtmp://f13h.mine.nu/sat/tv701
緯來體育,rtmp://f13h.mine.nu/sat/tv721
MoMo綜合,rtmp://f13h.mine.nu/sat/tv761
緯來日本,rtmp://f13h.mine.nu/sat/tv771
ELEVEN1,rtmp://f13h.mine.nu/sat/tv731
ELEVEN2,rtmp://f13h.mine.nu/sat/tv741
緯來體育,rtmp://220.130.201.73/sat/tv721
緯來日本,rtmp://220.130.201.73/sat/tv771
東森超視,rtmp://220.130.201.73/sat/tv331
TVBS新闻,rtmp://f13h.mine.nu/sat/tv551 
东森财经新闻,rtmp://f13h.mine.nu/sat/tv571 
ELTA体育1,rtmp://f13h.mine.nu/sat/md051 
ELTA体育2,rtmp://f13h.mine.nu/sat/md041 
TVBS欢乐,rtmp://f13h.mine.nu/sat/tv421 
AMC电影,http://61.221.215.25:8800/hls/43/index.m3u8  
中华小家,http://61.221.215.25:8800/hls/40/index.m3u8 
凤凰资讯,http://61.221.215.25:8800/hls/47/index.m3u8 
纬来精彩,http://61.221.215.25:8800/hls/48/index.m3u8 
49号频道,http://61.221.215.25:8800/hls/49/index.m3u8 
探索亚洲,http://61.221.215.25:8800/hls/50/index.m3u8 
八大第一,http://61.221.215.25:8800/hls/55/index.m3u8 
动物星球,http://61.221.215.25:8800/hls/57/index.m3u8 
八大综合,http://61.221.215.25:8800/hls/56/index.m3u8 
中天娱乐,http://61.221.215.25:8800/hls/47/index.m3u8 
TVBS,http://61.221.215.25:8800/hls/9/index.m3u8 
nhk,http://61.221.215.25:8800/hls/51/index.m3u8 
D-box,http://61.221.215.25:8800/hls/54/index.m3u8 
LISTEN,http://61.221.215.25:8800/hls/58/index.m3u8 
台视新闻,http://38.64.72.148:80/hls/modn/list/4013/chunklist1.m3u8 
民视新闻,http://38.64.72.148:80/hls/modn/list/4012/chunklist0.m3u8
中天新闻台,https://litv.zapi.us.kg/?id=4gtv-4gtv009
中天新闻台,http://tianhewan.top/ZIPP.php?url=http://211.72.65.236:8541/.m3u8
壹新闻,http://tianhewan.top/ZIPP.php?url=http://211.72.65.236:8548/.m3u8

tvbs新闻台,https://litv.zapi.us.kg/?id=4gtv-4gtv072
非凡新闻台,https://litv.zapi.us.kg/?id=4gtv-4gtv010
闽镜新闻台,https://litv.zapi.us.kg/?id=4gtv-4gtv075
华视新闻台,https://litv.zapi.us.kg/?id=4gtv-4gtv052
中视新闻台,https://litv.zapi.us.kg/?id=4gtv-4gtv074

寰宇闽南台,https://litv.zapi.us.kg/?id=litv-longturn15
中视闽南台,https://litv.zapi.us.kg/?id=4gtv-4gtv040
华视闽南台,https://litv.zapi.us.kg/?id=4gtv-4gtv041
台视闽南台,https://litv.zapi.us.kg/?id=4gtv-4gtv066
民视闽南台,https://litv.zapi.us.kg/?id=4gtv-4gtv002
民视第一台,https://litv.zapi.us.kg/?id=4gtv-4gtv003
民视综艺台,https://litv.zapi.us.kg/?id=4gtv-4gtv004
民视台湾台,https://litv.zapi.us.kg/?id=4gtv-4gtv001
tvbs闽南台,https://litv.zapi.us.kg/?id=4gtv-4gtv073

厦门卫视,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000005000266006/1.m3u8
